loan_amnt,term_index,int_rate,grade_index,sub_grade_index,home_ownership_index,annual_inc,verification_status_index,purpose_index,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,emp_length_index,label
5000.0,0.0,10.65,0.0,5.0,1.0,24000.0,1.0,1.0,27.65,0.0,1.0,3.0,0.0,83.7,0.0,0.0
2500.0,1.0,15.27,1.0,7.0,1.0,30000.0,0.0,6.0,1.0,0.0,5.0,3.0,0.0,9.4,2.0,1.0
2400.0,0.0,15.96,1.0,10.0,1.0,12252.0,2.0,5.0,8.72,0.0,2.0,2.0,0.0,98.5,0.0,0.0
10000.0,0.0,13.49,1.0,2.0,1.0,49200.0,0.0,3.0,20.0,0.0,1.0,10.0,0.0,21.0,0.0,0.0
3000.0,1.0,12.69,0.0,6.0,1.0,80000.0,0.0,3.0,17.94,0.0,0.0,15.0,0.0,53.9,4.0,0.0
5000.0,0.0,7.9,2.0,12.0,1.0,36000.0,0.0,11.0,11.2,0.0,3.0,9.0,0.0,28.3,3.0,0.0
7000.0,1.0,15.96,1.0,10.0,1.0,47004.0,2.0,0.0,23.51,0.0,1.0,7.0,0.0,85.6,9.0,0.0
3000.0,0.0,18.64,4.0,20.0,1.0,48000.0,0.0,6.0,5.35,0.0,2.0,4.0,0.0,87.5,11.0,0.0
5600.0,1.0,21.28,5.0,26.0,2.0,40000.0,0.0,5.0,5.55,0.0,2.0,11.0,0.0,32.6,6.0,1.0
5375.0,1.0,12.69,0.0,6.0,1.0,15000.0,1.0,3.0,18.08,0.0,0.0,2.0,0.0,36.5,2.0,1.0
6500.0,1.0,14.65,1.0,4.0,2.0,72000.0,2.0,0.0,16.12,0.0,2.0,14.0,0.0,20.6,5.0,0.0
12000.0,0.0,12.69,0.0,6.0,2.0,75000.0,0.0,0.0,10.78,0.0,0.0,12.0,0.0,67.1,0.0,0.0
9000.0,0.0,13.49,1.0,2.0,1.0,30000.0,0.0,0.0,10.08,0.0,1.0,4.0,0.0,91.7,2.0,1.0
3000.0,0.0,9.91,0.0,8.0,1.0,15000.0,0.0,1.0,12.56,0.0,2.0,11.0,0.0,43.1,3.0,0.0
10000.0,0.0,10.65,0.0,5.0,1.0,100000.0,0.0,3.0,7.06,0.0,2.0,14.0,0.0,55.5,3.0,1.0
1000.0,0.0,16.29,3.0,11.0,1.0,28000.0,2.0,0.0,20.31,0.0,1.0,11.0,0.0,81.5,2.0,0.0
10000.0,0.0,15.27,1.0,7.0,1.0,42000.0,2.0,2.0,18.6,0.0,2.0,14.0,0.0,70.2,6.0,0.0
3600.0,0.0,6.03,2.0,17.0,0.0,110000.0,2.0,4.0,10.52,0.0,0.0,20.0,0.0,16.0,0.0,0.0
6000.0,0.0,11.71,0.0,0.0,0.0,84000.0,1.0,7.0,18.44,2.0,0.0,4.0,0.0,37.73,4.0,0.0
9200.0,0.0,6.03,2.0,17.0,1.0,77385.19,2.0,0.0,9.86,0.0,0.0,8.0,0.0,23.1,10.0,0.0
20250.0,1.0,15.27,1.0,7.0,1.0,43370.0,1.0,0.0,26.53,0.0,3.0,8.0,0.0,85.6,3.0,0.0
21000.0,0.0,12.42,0.0,1.0,1.0,105000.0,1.0,0.0,13.22,0.0,0.0,7.0,0.0,90.3,0.0,1.0
10000.0,0.0,11.71,0.0,0.0,2.0,50000.0,0.0,1.0,11.18,0.0,0.0,8.0,0.0,82.4,0.0,0.0
10000.0,0.0,11.71,0.0,0.0,1.0,50000.0,2.0,0.0,16.01,0.0,0.0,6.0,0.0,91.8,5.0,0.0
6000.0,0.0,11.71,0.0,0.0,1.0,76000.0,2.0,4.0,2.4,0.0,1.0,7.0,0.0,29.7,4.0,1.0
15000.0,0.0,9.91,0.0,8.0,0.0,92000.0,1.0,1.0,29.44,0.0,0.0,8.0,0.0,93.9,1.0,0.0
15000.0,0.0,14.27,1.0,3.0,1.0,60000.0,2.0,0.0,15.22,0.0,1.0,7.0,0.0,57.6,11.0,1.0
5000.0,1.0,16.77,3.0,13.0,1.0,50004.0,2.0,3.0,13.97,3.0,0.0,14.0,0.0,59.5,1.0,1.0
4000.0,0.0,11.71,0.0,0.0,0.0,106000.0,2.0,0.0,5.63,1.0,0.0,12.0,0.0,37.7,0.0,0.0
8500.0,0.0,11.71,0.0,0.0,1.0,25000.0,0.0,1.0,12.19,0.0,0.0,8.0,0.0,59.1,2.0,0.0
4375.0,0.0,7.51,2.0,16.0,0.0,17108.0,0.0,0.0,20.34,0.0,0.0,6.0,0.0,86.9,7.0,0.0
31825.0,0.0,7.9,2.0,12.0,0.0,75000.0,1.0,0.0,14.03,0.0,0.0,12.0,0.0,27.4,5.0,0.0
10000.0,1.0,15.96,1.0,10.0,1.0,29120.0,1.0,0.0,22.83,0.0,1.0,11.0,0.0,63.6,1.0,0.0
5000.0,0.0,8.9,2.0,9.0,1.0,24044.0,1.0,0.0,11.93,0.0,0.0,8.0,0.0,29.3,1.0,0.0
7000.0,0.0,15.96,1.0,10.0,1.0,34000.0,0.0,1.0,6.35,0.0,1.0,6.0,0.0,60.5,7.0,0.0
12400.0,0.0,10.65,0.0,5.0,1.0,41000.0,2.0,1.0,11.8,0.0,2.0,9.0,0.0,57.2,0.0,0.0
10800.0,0.0,9.91,0.0,8.0,1.0,55596.0,0.0,8.0,5.5,0.0,0.0,7.0,0.0,13.3,1.0,0.0
15000.0,0.0,7.9,2.0,12.0,1.0,45000.0,1.0,0.0,8.48,0.0,0.0,7.0,0.0,50.4,4.0,0.0
6000.0,0.0,12.42,0.0,1.0,1.0,36852.0,0.0,0.0,10.62,0.0,1.0,7.0,0.0,66.5,4.0,0.0
12500.0,1.0,12.69,0.0,6.0,1.0,27000.0,1.0,0.0,16.04,0.0,3.0,6.0,0.0,50.0,4.0,0.0
9600.0,0.0,7.51,2.0,16.0,1.0,68004.0,0.0,3.0,6.63,0.0,0.0,6.0,0.0,18.1,6.0,0.0
12000.0,0.0,7.9,2.0,12.0,1.0,62300.0,2.0,0.0,16.7,0.0,0.0,15.0,0.0,21.0,0.0,0.0
3000.0,0.0,18.25,3.0,19.0,0.0,65000.0,2.0,3.0,17.39,0.0,0.0,8.0,0.0,98.1,11.0,0.0
4400.0,0.0,16.77,3.0,13.0,1.0,55000.0,2.0,0.0,20.01,0.0,0.0,7.0,0.0,99.0,0.0,0.0
6000.0,0.0,6.03,2.0,17.0,0.0,45600.0,2.0,0.0,5.34,0.0,1.0,6.0,0.0,32.5,0.0,0.0
14000.0,0.0,9.91,0.0,8.0,1.0,80000.0,2.0,5.0,10.0,0.0,1.0,7.0,0.0,13.4,10.0,0.0
5000.0,0.0,8.9,2.0,9.0,0.0,100000.0,0.0,0.0,16.33,0.0,0.0,17.0,0.0,62.1,0.0,1.0
10000.0,0.0,10.65,0.0,5.0,1.0,27000.0,1.0,3.0,11.47,0.0,0.0,7.0,0.0,52.3,10.0,0.0
10000.0,0.0,6.03,2.0,17.0,1.0,60000.0,2.0,1.0,12.74,0.0,1.0,11.0,0.0,19.5,0.0,0.0
11000.0,0.0,6.62,2.0,18.0,1.0,70000.0,2.0,0.0,10.85,0.0,0.0,5.0,0.0,36.4,5.0,0.0
15000.0,0.0,9.91,0.0,8.0,0.0,80000.0,2.0,0.0,9.12,0.0,2.0,9.0,0.0,63.7,9.0,1.0
25600.0,0.0,9.91,0.0,8.0,1.0,110000.0,1.0,1.0,15.71,0.0,0.0,11.0,0.0,62.0,11.0,0.0
7000.0,0.0,10.65,0.0,5.0,1.0,40000.0,2.0,0.0,7.38,0.0,0.0,7.0,0.0,92.9,2.0,0.0
12000.0,0.0,15.96,1.0,10.0,1.0,50000.0,2.0,6.0,20.88,0.0,2.0,11.0,0.0,90.8,6.0,1.0
12000.0,0.0,9.91,0.0,8.0,1.0,46000.0,2.0,1.0,8.11,0.0,1.0,11.0,0.0,52.1,4.0,0.0
21000.0,1.0,19.91,4.0,23.0,1.0,50000.0,1.0,0.0,21.58,0.0,1.0,7.0,0.0,97.6,7.0,1.0
16000.0,1.0,19.91,4.0,23.0,1.0,81000.0,1.0,1.0,20.52,0.0,3.0,12.0,0.0,75.1,7.0,0.0
10000.0,0.0,12.42,0.0,1.0,2.0,39000.0,2.0,0.0,18.58,0.0,0.0,5.0,0.0,72.7,2.0,0.0
10000.0,0.0,10.65,0.0,5.0,1.0,51400.0,2.0,1.0,19.14,0.0,3.0,10.0,0.0,59.1,1.0,0.0
7100.0,0.0,16.77,3.0,13.0,0.0,33000.0,1.0,0.0,24.0,0.0,2.0,4.0,0.0,91.2,4.0,0.0
13000.0,1.0,12.69,0.0,6.0,0.0,30000.0,0.0,0.0,13.72,0.0,0.0,17.0,0.0,58.9,2.0,0.0
17500.0,1.0,17.27,3.0,14.0,1.0,40000.0,1.0,5.0,19.47,0.0,1.0,5.0,0.0,58.9,10.0,0.0
17675.0,1.0,14.65,1.0,4.0,1.0,50000.0,0.0,0.0,16.46,0.0,2.0,6.0,0.0,57.4,2.0,0.0
8000.0,0.0,16.77,3.0,13.0,1.0,62000.0,2.0,0.0,21.64,0.0,3.0,14.0,0.0,66.9,2.0,0.0
10000.0,1.0,10.65,0.0,5.0,1.0,45996.0,1.0,0.0,21.73,0.0,1.0,7.0,0.0,30.1,0.0,1.0
3500.0,0.0,10.65,0.0,5.0,0.0,55000.0,2.0,0.0,5.39,0.0,1.0,9.0,0.0,45.9,7.0,0.0
12500.0,1.0,17.27,3.0,14.0,1.0,30000.0,0.0,0.0,13.16,0.0,0.0,7.0,1.0,70.8,5.0,1.0
16425.0,0.0,14.27,1.0,3.0,1.0,44544.0,0.0,0.0,22.71,0.0,1.0,10.0,0.0,83.4,6.0,0.0
8200.0,1.0,21.28,5.0,26.0,1.0,75000.0,0.0,5.0,12.48,0.0,3.0,6.0,0.0,73.9,6.0,1.0
15000.0,0.0,14.65,1.0,4.0,2.0,61000.0,1.0,1.0,11.88,0.0,1.0,8.0,0.0,79.5,1.0,0.0
20975.0,1.0,17.58,3.0,15.0,0.0,44000.0,1.0,1.0,18.79,0.0,0.0,13.0,1.0,79.4,5.0,0.0
6400.0,0.0,16.77,3.0,13.0,1.0,75000.0,2.0,0.0,20.22,0.0,0.0,9.0,0.0,67.5,5.0,1.0
3000.0,0.0,13.49,1.0,2.0,1.0,33600.0,2.0,0.0,18.11,0.0,0.0,4.0,0.0,83.2,4.0,0.0
12000.0,0.0,16.77,3.0,13.0,1.0,50000.0,2.0,1.0,20.57,0.0,1.0,13.0,0.0,97.0,3.0,0.0
14400.0,0.0,8.9,2.0,9.0,2.0,150000.0,0.0,0.0,14.85,0.0,0.0,12.0,0.0,55.0,2.0,0.0
12000.0,0.0,14.65,1.0,4.0,1.0,90000.0,2.0,0.0,16.56,0.0,2.0,12.0,0.0,78.5,0.0,0.0
11000.0,0.0,13.49,1.0,2.0,0.0,48000.0,1.0,0.0,21.82,0.0,3.0,15.0,0.0,65.0,0.0,0.0
7250.0,1.0,21.67,5.0,27.0,1.0,75000.0,1.0,0.0,24.82,0.0,2.0,9.0,1.0,91.2,2.0,0.0
15000.0,0.0,7.9,2.0,12.0,0.0,52000.0,2.0,5.0,9.65,0.0,1.0,11.0,0.0,6.7,4.0,0.0
18000.0,1.0,19.91,4.0,23.0,0.0,65000.0,2.0,0.0,6.81,0.0,0.0,10.0,0.0,77.8,0.0,0.0
35000.0,1.0,17.27,3.0,14.0,0.0,150000.0,1.0,2.0,7.51,0.0,1.0,11.0,0.0,53.3,3.0,0.0
10000.0,0.0,14.27,1.0,3.0,1.0,68000.0,0.0,1.0,15.39,0.0,1.0,9.0,0.0,81.3,1.0,0.0
11800.0,0.0,12.69,0.0,6.0,1.0,42000.0,0.0,1.0,9.86,0.0,0.0,4.0,0.0,74.8,10.0,0.0
4500.0,0.0,6.03,2.0,17.0,1.0,53000.0,0.0,4.0,4.44,0.0,0.0,7.0,0.0,13.9,6.0,0.0
7000.0,0.0,12.69,0.0,6.0,1.0,35000.0,0.0,1.0,11.35,0.0,2.0,10.0,0.0,82.3,0.0,0.0
9200.0,0.0,12.42,0.0,1.0,1.0,60000.0,0.0,0.0,19.96,0.0,3.0,8.0,0.0,78.7,1.0,0.0
14000.0,1.0,17.27,3.0,14.0,1.0,28000.0,1.0,3.0,6.34,0.0,2.0,5.0,0.0,79.4,6.0,0.0
4500.0,1.0,10.65,0.0,5.0,0.0,42000.0,0.0,6.0,5.4,0.0,0.0,4.0,0.0,78.3,2.0,0.0
12000.0,0.0,16.29,3.0,11.0,1.0,88365.0,1.0,0.0,16.85,0.0,0.0,6.0,0.0,96.4,11.0,0.0
12000.0,0.0,13.49,1.0,2.0,1.0,72000.0,0.0,0.0,21.33,0.0,1.0,11.0,0.0,27.6,6.0,0.0
12000.0,0.0,10.65,0.0,5.0,1.0,62000.0,1.0,1.0,23.94,0.0,0.0,10.0,0.0,78.4,2.0,0.0
7000.0,0.0,10.65,0.0,5.0,0.0,43680.0,2.0,1.0,5.38,0.0,0.0,7.0,0.0,78.1,3.0,0.0
8200.0,1.0,19.42,4.0,22.0,1.0,120000.0,0.0,0.0,2.8,0.0,2.0,5.0,0.0,88.4,3.0,0.0
10500.0,0.0,12.69,0.0,6.0,1.0,66000.0,1.0,7.0,20.73,1.0,2.0,8.0,0.0,51.2,0.0,0.0
7000.0,0.0,11.71,0.0,0.0,2.0,39120.0,2.0,0.0,21.01,0.0,0.0,8.0,1.0,52.4,6.0,0.0
15300.0,1.0,22.06,5.0,28.0,1.0,85000.0,1.0,1.0,20.58,0.0,2.0,14.0,0.0,89.7,10.0,0.0
20000.0,1.0,11.71,0.0,0.0,0.0,47800.0,1.0,0.0,10.04,0.0,0.0,15.0,0.0,46.3,6.0,0.0
17500.0,1.0,17.27,3.0,14.0,0.0,45000.0,2.0,1.0,21.31,0.0,2.0,13.0,0.0,86.1,7.0,1.0
3500.0,0.0,6.03,2.0,17.0,0.0,83000.0,1.0,6.0,2.31,0.0,0.0,6.0,0.0,13.4,0.0,0.0
6000.0,1.0,12.69,0.0,6.0,1.0,81000.0,0.0,4.0,13.66,1.0,0.0,6.0,0.0,50.0,2.0,0.0
6200.0,0.0,9.91,0.0,8.0,1.0,25000.0,2.0,0.0,20.64,0.0,2.0,7.0,0.0,47.7,1.0,1.0
16000.0,1.0,17.58,3.0,15.0,1.0,65000.0,2.0,0.0,15.56,0.0,0.0,8.0,0.0,87.1,7.0,0.0
6000.0,0.0,8.9,2.0,9.0,2.0,28800.0,2.0,0.0,13.17,0.0,0.0,11.0,0.0,36.8,9.0,0.0
7200.0,0.0,9.91,0.0,8.0,1.0,135000.0,2.0,1.0,6.12,0.0,0.0,7.0,0.0,79.6,10.0,0.0
9500.0,0.0,8.9,2.0,9.0,0.0,50000.0,2.0,1.0,8.18,0.0,0.0,8.0,0.0,60.5,7.0,0.0
18825.0,1.0,16.77,3.0,13.0,1.0,38000.0,1.0,0.0,23.18,0.0,0.0,6.0,0.0,79.7,0.0,1.0
24000.0,0.0,10.65,0.0,5.0,1.0,45000.0,1.0,0.0,14.8,0.0,0.0,5.0,0.0,55.2,0.0,0.0
6000.0,0.0,13.49,1.0,2.0,1.0,80000.0,2.0,0.0,11.58,0.0,0.0,8.0,0.0,83.8,0.0,0.0
6000.0,0.0,13.49,1.0,2.0,1.0,50000.0,2.0,0.0,15.38,0.0,1.0,6.0,0.0,91.5,5.0,0.0
2100.0,0.0,12.42,0.0,1.0,0.0,30000.0,2.0,9.0,19.72,0.0,1.0,12.0,0.0,82.9,0.0,0.0
5500.0,0.0,6.62,2.0,18.0,0.0,110000.0,1.0,5.0,9.69,0.0,0.0,7.0,0.0,21.9,9.0,0.0
11000.0,0.0,6.62,2.0,18.0,2.0,45608.0,0.0,0.0,20.5,0.0,0.0,7.0,0.0,58.7,9.0,0.0
26800.0,1.0,20.89,5.0,25.0,0.0,120000.0,1.0,0.0,12.15,0.0,0.0,13.0,0.0,48.0,3.0,0.0
8000.0,0.0,12.69,0.0,6.0,0.0,35000.0,2.0,0.0,10.05,0.0,0.0,7.0,0.0,97.7,5.0,0.0
10000.0,0.0,18.25,3.0,19.0,1.0,75000.0,0.0,1.0,24.14,0.0,0.0,9.0,0.0,96.3,4.0,1.0
8000.0,0.0,11.71,0.0,0.0,0.0,35000.0,1.0,1.0,9.7,0.0,0.0,7.0,0.0,46.5,11.0,0.0
10000.0,0.0,8.9,2.0,9.0,1.0,24000.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0,49.5,10.0,0.0
12000.0,0.0,11.71,0.0,0.0,0.0,126000.0,2.0,0.0,13.32,0.0,0.0,17.0,0.0,54.1,1.0,0.0
10000.0,0.0,7.9,2.0,12.0,1.0,43000.0,2.0,0.0,25.26,0.0,0.0,8.0,0.0,37.2,4.0,0.0
12000.0,0.0,9.91,0.0,8.0,1.0,50000.0,2.0,0.0,16.44,0.0,1.0,11.0,0.0,29.3,4.0,0.0
25000.0,1.0,13.49,1.0,2.0,0.0,67000.0,1.0,1.0,14.15,0.0,0.0,6.0,0.0,91.2,0.0,1.0
19750.0,0.0,10.65,0.0,5.0,1.0,45000.0,1.0,0.0,22.8,0.0,0.0,12.0,0.0,54.2,6.0,1.0
10000.0,0.0,9.91,0.0,8.0,1.0,31200.0,0.0,0.0,14.81,0.0,0.0,13.0,0.0,27.0,3.0,0.0
13650.0,0.0,12.42,0.0,1.0,1.0,66000.0,1.0,0.0,24.09,0.0,0.0,11.0,0.0,56.5,6.0,0.0
28000.0,1.0,19.91,4.0,23.0,1.0,52000.0,1.0,0.0,20.7,0.0,0.0,10.0,0.0,87.6,0.0,1.0
18000.0,0.0,7.9,2.0,12.0,1.0,56964.0,0.0,0.0,27.55,0.0,0.0,7.0,0.0,76.6,0.0,0.0
2500.0,0.0,14.27,1.0,3.0,1.0,49500.0,0.0,0.0,10.33,0.0,1.0,7.0,0.0,37.7,7.0,0.0
21000.0,1.0,20.3,4.0,24.0,1.0,70000.0,1.0,1.0,23.21,0.0,2.0,17.0,0.0,70.7,0.0,0.0
35000.0,0.0,8.9,2.0,9.0,0.0,125000.0,1.0,0.0,22.71,0.0,0.0,8.0,0.0,34.8,10.0,0.0
10000.0,0.0,7.51,2.0,16.0,1.0,33000.0,2.0,1.0,9.75,0.0,1.0,9.0,0.0,0.6,3.0,0.0
7000.0,0.0,12.69,0.0,6.0,1.0,30000.0,0.0,1.0,15.8,0.0,2.0,7.0,0.0,47.6,2.0,0.0
24000.0,0.0,15.96,1.0,10.0,0.0,90000.0,0.0,2.0,9.17,0.0,1.0,9.0,0.0,71.2,9.0,1.0
10625.0,0.0,7.51,2.0,16.0,0.0,23000.0,2.0,7.0,18.89,0.0,1.0,9.0,0.0,43.4,5.0,0.0
5000.0,0.0,14.65,1.0,4.0,1.0,24000.0,0.0,0.0,18.3,0.0,2.0,5.0,0.0,33.3,1.0,0.0
8850.0,0.0,6.62,2.0,18.0,1.0,62000.0,0.0,1.0,17.71,0.0,0.0,7.0,0.0,35.9,0.0,0.0
6375.0,0.0,7.51,2.0,16.0,1.0,44000.0,0.0,0.0,4.8,0.0,0.0,7.0,0.0,58.0,6.0,0.0
6000.0,0.0,11.71,0.0,0.0,1.0,90000.0,2.0,1.0,2.97,1.0,0.0,10.0,0.0,56.6,4.0,0.0
11100.0,0.0,6.62,2.0,18.0,1.0,41000.0,1.0,1.0,29.85,0.0,1.0,8.0,0.0,62.3,0.0,1.0
10000.0,1.0,12.69,0.0,6.0,0.0,56000.0,0.0,0.0,10.82,0.0,1.0,11.0,0.0,31.2,1.0,0.0
6200.0,0.0,6.03,2.0,17.0,0.0,26500.0,2.0,5.0,18.2,0.0,0.0,6.0,0.0,16.0,5.0,0.0
15000.0,0.0,18.64,4.0,20.0,1.0,54000.0,2.0,0.0,19.69,0.0,2.0,9.0,0.0,90.3,4.0,0.0
4200.0,0.0,11.71,0.0,0.0,1.0,53000.0,2.0,3.0,16.91,0.0,0.0,15.0,0.0,79.7,1.0,0.0
14000.0,0.0,14.27,1.0,3.0,1.0,52800.0,2.0,0.0,7.36,0.0,1.0,9.0,0.0,70.8,6.0,0.0
8875.0,0.0,7.51,2.0,16.0,0.0,38000.0,2.0,0.0,23.53,0.0,1.0,13.0,0.0,62.1,4.0,0.0
13500.0,0.0,9.91,0.0,8.0,1.0,38000.0,1.0,0.0,12.38,0.0,1.0,3.0,0.0,67.3,7.0,0.0
12000.0,0.0,9.91,0.0,8.0,1.0,42000.0,2.0,0.0,7.83,0.0,2.0,8.0,0.0,65.4,1.0,1.0
16000.0,1.0,19.91,4.0,23.0,1.0,55000.0,1.0,0.0,15.8,0.0,0.0,8.0,0.0,72.4,6.0,0.0
21600.0,1.0,19.42,4.0,22.0,0.0,60000.0,0.0,0.0,16.74,1.0,0.0,6.0,0.0,78.1,9.0,0.0
6000.0,0.0,10.65,0.0,5.0,0.0,87000.0,2.0,2.0,12.86,2.0,0.0,12.0,0.0,40.5,10.0,0.0
8450.0,1.0,16.77,3.0,13.0,2.0,25000.0,1.0,0.0,22.51,0.0,2.0,6.0,0.0,83.5,5.0,0.0
20000.0,1.0,13.49,1.0,2.0,1.0,82000.0,2.0,1.0,17.68,0.0,0.0,13.0,0.0,61.4,4.0,0.0
10000.0,0.0,11.71,0.0,0.0,1.0,60000.0,2.0,0.0,22.08,0.0,0.0,8.0,0.0,29.3,9.0,1.0
12000.0,0.0,16.29,3.0,11.0,0.0,80000.0,1.0,1.0,18.18,0.0,0.0,8.0,0.0,97.2,5.0,0.0
13475.0,1.0,13.49,1.0,2.0,1.0,25000.0,1.0,1.0,21.89,0.0,1.0,7.0,0.0,65.8,0.0,1.0
7200.0,0.0,12.42,0.0,1.0,1.0,48000.0,2.0,4.0,17.43,0.0,1.0,7.0,0.0,80.2,5.0,0.0
5600.0,0.0,14.65,1.0,4.0,0.0,85000.0,2.0,0.0,12.24,1.0,3.0,8.0,0.0,90.8,4.0,1.0
12000.0,0.0,14.27,1.0,3.0,1.0,57000.0,1.0,0.0,10.86,0.0,1.0,7.0,0.0,81.5,2.0,0.0
8500.0,0.0,6.03,2.0,17.0,1.0,25000.0,2.0,1.0,1.73,0.0,0.0,6.0,0.0,28.0,1.0,0.0
8000.0,0.0,9.91,0.0,8.0,1.0,34000.0,0.0,1.0,18.28,0.0,0.0,6.0,0.0,78.5,1.0,0.0
8000.0,0.0,12.42,0.0,1.0,1.0,40000.0,2.0,1.0,15.0,0.0,0.0,10.0,0.0,88.2,0.0,0.0
16000.0,1.0,15.27,1.0,7.0,1.0,42656.4,0.0,0.0,17.44,0.0,1.0,4.0,0.0,92.3,0.0,0.0
