loan_amnt,term_index,int_rate,grade_index,sub_grade_index,home_ownership_index,annual_inc,verification_status_index,purpose_index,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,emp_length_index,label
15000.0,0.0,18.49,3.0,13.0,0.0,98000.0,1.0,2.0,24.69,0.0,2.0,11.0,1.0,61.2,7.0,0.0
29700.0,1.0,12.12,0.0,0.0,0.0,110000.0,1.0,1.0,16.73,1.0,0.0,13.0,0.0,56.4,0.0,0.0
10000.0,0.0,14.33,1.0,2.0,0.0,147000.0,2.0,0.0,9.53,0.0,1.0,9.0,1.0,92.1,11.0,0.0
2500.0,0.0,23.63,5.0,27.0,1.0,35000.0,2.0,8.0,15.22,1.0,2.0,3.0,0.0,94.2,5.0,0.0
15000.0,0.0,18.75,3.0,14.0,1.0,52000.0,1.0,0.0,20.7,0.0,1.0,8.0,0.0,90.7,0.0,0.0
24000.0,1.0,17.77,3.0,11.0,1.0,76500.0,1.0,0.0,20.78,0.0,0.0,10.0,1.0,32.3,9.0,0.0
6325.0,0.0,17.27,1.0,10.0,0.0,87000.0,1.0,5.0,8.72,0.0,4.0,13.0,0.0,10.5,0.0,0.0
25000.0,1.0,21.0,4.0,21.0,0.0,97050.0,1.0,0.0,14.55,0.0,5.0,11.0,0.0,27.3,2.0,0.0
10000.0,0.0,8.9,2.0,9.0,0.0,41200.0,2.0,0.0,6.35,0.0,0.0,11.0,0.0,40.8,11.0,0.0
16000.0,0.0,17.27,1.0,10.0,1.0,45000.0,2.0,0.0,6.53,0.0,1.0,5.0,1.0,64.8,0.0,0.0
12000.0,1.0,15.31,1.0,3.0,1.0,51700.0,1.0,1.0,28.36,0.0,0.0,23.0,1.0,45.6,0.0,0.0
10000.0,0.0,13.11,0.0,1.0,2.0,61000.0,2.0,0.0,26.12,0.0,1.0,10.0,0.0,89.4,4.0,0.0
8000.0,0.0,8.9,2.0,9.0,1.0,50000.0,2.0,1.0,28.81,0.0,0.0,19.0,0.0,27.1,3.0,0.0
10000.0,0.0,13.11,0.0,1.0,0.0,200000.0,1.0,1.0,14.15,0.0,2.0,12.0,0.0,84.9,5.0,1.0
7200.0,0.0,15.31,1.0,3.0,2.0,55000.0,1.0,0.0,11.5,0.0,0.0,12.0,1.0,32.7,3.0,0.0
12000.0,1.0,17.27,1.0,10.0,0.0,35000.0,1.0,0.0,18.41,0.0,0.0,13.0,1.0,27.2,9.0,1.0
10000.0,0.0,11.14,0.0,5.0,1.0,120000.0,2.0,0.0,8.49,0.0,0.0,14.0,0.0,64.8,3.0,0.0
3975.0,0.0,18.75,3.0,14.0,1.0,65000.0,0.0,3.0,14.51,0.0,0.0,6.0,0.0,93.0,10.0,0.0
6000.0,0.0,19.72,3.0,19.0,1.0,90262.0,2.0,0.0,12.38,0.0,2.0,11.0,0.0,72.8,1.0,0.0
9000.0,0.0,7.9,2.0,12.0,0.0,56000.0,2.0,0.0,20.23,0.0,0.0,9.0,0.0,8.6,0.0,0.0
9100.0,0.0,6.62,2.0,18.0,1.0,54600.0,2.0,1.0,17.12,0.0,0.0,13.0,0.0,40.6,0.0,0.0
18400.0,1.0,21.0,4.0,21.0,0.0,52905.0,0.0,0.0,14.55,0.0,0.0,8.0,0.0,86.3,11.0,0.0
4750.0,0.0,18.75,3.0,14.0,1.0,24000.0,2.0,11.0,29.7,0.0,0.0,8.0,0.0,44.2,6.0,1.0
4000.0,0.0,19.05,3.0,15.0,1.0,18000.0,0.0,0.0,20.33,0.0,1.0,11.0,4.0,37.5,3.0,1.0
12000.0,0.0,19.05,3.0,15.0,1.0,42000.0,2.0,0.0,18.51,0.0,0.0,14.0,0.0,97.5,0.0,0.0
18000.0,0.0,16.29,1.0,7.0,1.0,80000.0,1.0,0.0,15.39,0.0,0.0,13.0,0.0,67.5,0.0,1.0
5175.0,0.0,21.0,4.0,21.0,0.0,35000.0,2.0,7.0,22.08,1.0,3.0,3.0,0.0,40.4,6.0,0.0
25000.0,0.0,21.49,4.0,22.0,1.0,140000.0,0.0,0.0,19.41,4.0,3.0,18.0,0.0,75.9,0.0,0.0
18550.0,0.0,7.62,2.0,16.0,1.0,42000.0,0.0,0.0,13.89,0.0,0.0,5.0,0.0,40.4,0.0,0.0
28000.0,1.0,19.72,3.0,19.0,0.0,78000.0,1.0,0.0,17.68,0.0,0.0,25.0,0.0,45.3,9.0,0.0
1200.0,0.0,22.95,5.0,25.0,1.0,42000.0,2.0,3.0,23.75,0.0,2.0,8.0,0.0,71.5,2.0,0.0
15000.0,1.0,16.29,1.0,7.0,1.0,53000.0,1.0,0.0,18.95,0.0,0.0,10.0,0.0,83.3,0.0,0.0
5275.0,0.0,15.8,1.0,4.0,0.0,104000.0,0.0,4.0,8.71,0.0,2.0,12.0,0.0,31.2,0.0,0.0
12000.0,1.0,20.49,4.0,20.0,0.0,66000.0,1.0,1.0,10.76,1.0,1.0,14.0,0.0,45.9,11.0,0.0
15000.0,1.0,17.77,3.0,11.0,0.0,90000.0,1.0,2.0,13.4,1.0,1.0,7.0,4.0,16.5,11.0,0.0
10000.0,0.0,15.8,1.0,4.0,1.0,30000.0,2.0,1.0,22.68,0.0,0.0,8.0,0.0,93.7,0.0,1.0
21250.0,0.0,14.09,0.0,6.0,1.0,48000.0,1.0,0.0,28.93,0.0,0.0,15.0,0.0,50.2,4.0,0.0
10000.0,0.0,21.0,4.0,21.0,1.0,50000.0,2.0,3.0,8.18,0.0,0.0,7.0,0.0,69.8,4.0,0.0
17000.0,0.0,8.9,2.0,9.0,1.0,60230.0,1.0,1.0,30.58,2.0,0.0,20.0,0.0,24.9,9.0,0.0
14000.0,0.0,13.11,0.0,1.0,1.0,72000.0,2.0,0.0,27.1,0.0,0.0,14.0,0.0,55.4,5.0,1.0
21500.0,0.0,17.77,3.0,11.0,1.0,60000.0,1.0,1.0,15.22,1.0,0.0,7.0,0.0,70.7,1.0,0.0
20000.0,0.0,7.9,2.0,12.0,2.0,50000.0,1.0,0.0,5.63,0.0,0.0,7.0,0.0,61.6,4.0,0.0
15000.0,0.0,11.14,0.0,5.0,0.0,60000.0,1.0,1.0,18.42,0.0,0.0,10.0,0.0,26.7,0.0,1.0
24800.0,0.0,7.62,2.0,16.0,0.0,160000.0,0.0,1.0,7.19,0.0,0.0,7.0,0.0,80.6,7.0,0.0
16000.0,0.0,17.27,1.0,10.0,0.0,70000.0,1.0,0.0,28.34,0.0,1.0,15.0,0.0,87.2,11.0,0.0
10000.0,0.0,11.14,0.0,5.0,1.0,32000.0,1.0,2.0,4.24,1.0,1.0,5.0,0.0,27.1,8.0,0.0
6000.0,0.0,15.31,1.0,3.0,0.0,100000.0,0.0,1.0,4.0,0.0,2.0,19.0,0.0,22.5,0.0,0.0
13600.0,0.0,15.31,1.0,3.0,0.0,65000.0,1.0,0.0,23.15,0.0,1.0,8.0,0.0,76.1,3.0,0.0
20950.0,1.0,22.95,5.0,25.0,1.0,55620.0,1.0,0.0,18.08,1.0,1.0,14.0,0.0,44.1,10.0,1.0
15500.0,0.0,14.33,1.0,2.0,2.0,42000.0,2.0,0.0,29.77,0.0,2.0,17.0,0.0,56.1,3.0,0.0
27575.0,1.0,19.72,3.0,19.0,0.0,77250.0,1.0,0.0,24.05,0.0,2.0,13.0,0.0,68.9,4.0,0.0
10000.0,0.0,15.31,1.0,3.0,1.0,65000.0,2.0,1.0,9.51,0.0,2.0,7.0,0.0,33.2,3.0,0.0
15000.0,1.0,20.49,4.0,20.0,1.0,123000.0,1.0,0.0,12.41,0.0,1.0,13.0,1.0,62.1,0.0,0.0
10750.0,0.0,14.09,0.0,6.0,0.0,106000.0,2.0,0.0,11.43,0.0,0.0,10.0,0.0,22.8,9.0,0.0
24000.0,0.0,6.03,2.0,17.0,0.0,91000.0,1.0,0.0,7.42,0.0,0.0,9.0,0.0,30.1,0.0,0.0
16625.0,1.0,15.8,1.0,4.0,1.0,50000.0,1.0,0.0,23.74,0.0,1.0,8.0,0.0,49.9,1.0,0.0
10000.0,0.0,14.09,0.0,6.0,1.0,35000.0,2.0,0.0,12.82,0.0,0.0,14.0,1.0,56.5,1.0,0.0
9000.0,0.0,19.05,3.0,15.0,1.0,60000.0,2.0,1.0,10.28,0.0,1.0,10.0,0.0,87.7,2.0,0.0
13000.0,0.0,6.03,2.0,17.0,0.0,71900.0,2.0,1.0,11.12,0.0,0.0,12.0,0.0,45.0,11.0,0.0
12000.0,0.0,18.49,3.0,13.0,0.0,49000.0,2.0,0.0,16.38,0.0,3.0,15.0,0.0,61.4,10.0,0.0
10000.0,0.0,11.14,0.0,5.0,0.0,41600.0,2.0,1.0,13.18,0.0,0.0,7.0,0.0,37.7,9.0,0.0
18000.0,0.0,14.09,0.0,6.0,0.0,115000.0,2.0,0.0,20.09,3.0,1.0,11.0,0.0,87.3,0.0,0.0
14000.0,0.0,11.14,0.0,5.0,1.0,56000.0,1.0,1.0,24.45,0.0,0.0,9.0,0.0,72.4,10.0,0.0
20000.0,0.0,15.8,1.0,4.0,0.0,65000.0,1.0,1.0,33.88,0.0,1.0,16.0,0.0,49.4,0.0,1.0
14400.0,0.0,14.33,1.0,2.0,1.0,56000.0,1.0,1.0,20.91,0.0,1.0,11.0,1.0,41.8,10.0,0.0
13525.0,1.0,15.8,1.0,4.0,0.0,160000.0,0.0,0.0,12.08,0.0,4.0,16.0,0.0,66.0,0.0,0.0
3825.0,0.0,13.11,0.0,1.0,1.0,22000.0,1.0,0.0,23.95,0.0,0.0,18.0,0.0,52.2,8.0,1.0
17000.0,0.0,12.12,0.0,0.0,1.0,47500.0,2.0,0.0,12.23,0.0,0.0,13.0,0.0,44.9,1.0,0.0
7000.0,1.0,17.27,1.0,10.0,1.0,67500.0,1.0,0.0,23.56,3.0,0.0,11.0,0.0,96.7,2.0,0.0
22000.0,0.0,11.14,0.0,5.0,0.0,50000.0,1.0,0.0,22.7,0.0,0.0,13.0,0.0,51.9,9.0,0.0
12000.0,0.0,12.12,0.0,0.0,0.0,75000.0,2.0,1.0,18.67,0.0,0.0,10.0,1.0,80.6,0.0,0.0
2500.0,0.0,21.0,4.0,21.0,1.0,32000.0,1.0,1.0,33.3,0.0,2.0,17.0,0.0,66.9,6.0,0.0
12000.0,0.0,11.14,0.0,5.0,1.0,78000.0,0.0,0.0,7.57,0.0,0.0,11.0,0.0,74.9,2.0,0.0
15000.0,0.0,15.31,1.0,3.0,0.0,72000.0,1.0,0.0,27.5,0.0,1.0,6.0,0.0,99.3,0.0,0.0
12000.0,1.0,22.95,5.0,25.0,1.0,60000.0,1.0,0.0,20.68,0.0,2.0,16.0,0.0,73.4,2.0,0.0
8000.0,0.0,10.16,0.0,8.0,0.0,45000.0,2.0,0.0,6.53,0.0,2.0,4.0,0.0,27.0,7.0,0.0
24000.0,0.0,7.62,2.0,16.0,0.0,235000.0,1.0,2.0,3.96,0.0,2.0,17.0,0.0,35.9,1.0,0.0
7000.0,0.0,15.31,1.0,3.0,1.0,26000.0,1.0,0.0,14.95,0.0,1.0,8.0,1.0,44.2,6.0,0.0
20675.0,1.0,11.14,0.0,5.0,0.0,72000.0,1.0,2.0,33.52,0.0,0.0,14.0,0.0,53.8,0.0,0.0
